Country name;Regional indicator;Ladder score;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption
South Korea;East Asia;5.845;10.651;0,554861111;73.900;0,466666667;-0.083;0,504861111
Peru;Latin America and Caribbean;5.840;9.458;0,577777778;68.250;0,570833333;-0.154;0,61875
Bosnia and Herzegovina;Central and Eastern Europe;5.813;9.590;0,604166667;68.098;0,490277778;0,078472222;0,646527778
Moldova;Commonwealth of Independent States;5.766;9.454;0,595138889;65.699;0,570833333;-0.079;0,6375
Ecuador;Latin America and Caribbean;5.764;9.313;0,570138889;68.800;0,584722222;-0.124;0,585416667
Kyrgyzstan;Commonwealth of Independent States;5.744;8.538;0,620138889;64.401;0,649305556;0,082638889;0,630555556
Greece;Western Europe;5.723;10.279;0,571527778;72.600;0,404166667;-0.288;0,571527778
Bolivia;Latin America and Caribbean;5.716;9.046;0,5625;63.901;0,607638889;-0.077;0,582638889
Mongolia;East Asia;5.677;9.400;0,649305556;62.500;0,491666667;0,080555556;0,594444444
Paraguay;Latin America and Caribbean;5.653;9.448;0,620138889;65.900;0,608333333;0.028;0,6125
Montenegro;Central and Eastern Europe;5.581;9.940;0,595833333;68.699;0,491666667;-0.034;0,563888889
Dominican Republic;Latin America and Caribbean;5.545;9.802;0,592361111;66.102;0,597222222;-0.133;0,495833333
North Cyprus;Western Europe;5.536;10.576;0,569444444;73.898;0,552083333;0.012;0,434722222
Belarus;Commonwealth of Independent States;5.534;9.853;0,631944444;66.253;0,451388889;-0.180;0,435416667
Russia;Commonwealth of Independent States;5.477;10.189;0,627083333;64.703;0,498611111;-0.111;0,586805556
Hong Kong S.A.R. of China;East Asia;5.477;11.000;0,580555556;76.820;0,497916667;0.067;0,279861111
Tajikistan;Commonwealth of Independent States;5.466;8.091;0,597222222;64.281;0,577777778;-0.056;0,384027778
Vietnam;Southeast Asia;5.411;8.973;0,590277778;68.034;0,652777778;-0.098;0,552777778
Libya;Middle East and North Africa;5.410;9.622;0,574305556;62.300;0,535416667;-0.087;0,463194444
Malaysia;Southeast Asia;5.384;10.238;0,567361111;67.102;0,621527778;0,086805556;0,582638889
Indonesia;Southeast Asia;5.345;9.365;0,563194444;62.236;0,60625;0,376388889;0,602083333
Congo (Brazzaville);Sub-Saharan Africa;5.342;8.117;0,441666667;58.221;0,482638889;-0.068;0,517361111
